prizepicks_name,bbref_name,confidence,team,position,bbref_url,status
Jewell Loyd,Jewell Loyd,100,SEA,G,https://www.basketball-reference.com/wnba/players/l/loydje01w.html,manual_override
Chelsea Gray,Chelsea Gray,100,LAS,G,https://www.basketball-reference.com/wnba/players/g/grayche01w.html,manual_fix
Jackie Young,Jackie Young,100,LAS,G,https://www.basketball-reference.com/wnba/players/y/youngja01w.html,manual_fix
Satou Sabally,Satou Sabally,100,DAL,F,https://www.basketball-reference.com/wnba/players/s/sabalsa01w.html,manual_override
Alyssa Thomas,Alyssa Thomas,100,CON,F,https://www.basketball-reference.com/wnba/players/t/thomaal01w.html,manual_override
