SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024,202664,Courtney Vandersloot,Courtney,1611661313,NYL,New York Liberty,1022400236,2024-09-19T00:00:00,NYL vs. ATL,L,16.433333333333334,0,5,0.0,0,1,0.0,0,0,0.0,1,0,1,2,3,1,1,1,3,0,0,-10,7.2,0,0,7.0,1.0,2263.0,2263.0,2263.0,2933.0,3652.0,2472.0,3652.0,1909.0,2344.0,1909.0,2266.0,2417.0,2266.0,1010.0,3606.0,3089.0,1544.0,406.0,907.0,419.0,3082.0,3120.0,3093.0,3784.0,3746.0,3359.0,299.0,8.0,3299.0,1,16:26
2024,1629488,Brianna Turner,Brianna,1611661329,CHI,Chicago Sky,1022400235,2024-09-19T00:00:00,CHI @ CON,L,34.63333333333333,2,3,0.667,0,0,0.0,0,0,0.0,1,5,6,0,4,0,3,0,4,0,4,-30,16.2,0,0,16.0,1.0,2263.0,2263.0,2263.0,516.0,2287.0,3149.0,469.0,1909.0,3181.0,1909.0,2266.0,2417.0,2266.0,1010.0,651.0,789.0,3330.0,166.0,2210.0,50.0,1.0,3845.0,3093.0,2809.0,4509.0,2285.0,299.0,8.0,2173.0,1,34:38
2024,1628277,Allisha Gray,Allisha,1611661330,ATL,Atlanta Dream,1022400236,2024-09-19T00:00:00,ATL @ NYL,W,19.966666666666665,4,6,0.667,1,3,0.333,1,2,0.5,1,4,5,5,0,0,0,0,0,3,10,17,23.5,0,0,21.0,1.0,1.0,1.0,1.0,2524.0,1289.0,2173.0,469.0,966.0,1209.0,1190.0,1749.0,1263.0,1804.0,1010.0,970.0,1096.0,400.0,3036.0,2210.0,1350.0,1.0,1.0,816.0,1577.0,246.0,1536.0,299.0,8.0,1615.0,1,19:58
2024,203866,Kayla Thornton,Kayla,1611661313,NYL,New York Liberty,1022400236,2024-09-19T00:00:00,NYL vs. ATL,L,21.75,1,4,0.25,0,3,0.0,0,0,0.0,2,1,3,0,3,0,0,0,1,0,2,-3,2.6,0,0,5.0,1.0,2263.0,2263.0,2263.0,2310.0,2886.0,2800.0,3148.0,1909.0,1209.0,1909.0,2266.0,2417.0,2266.0,436.0,2717.0,1879.0,3330.0,406.0,2210.0,1350.0,1.0,966.0,3093.0,3308.0,2613.0,3954.0,299.0,8.0,3584.0,1,21:45
2024,204365,Erica Wheeler,Erica,1611661325,IND,Indiana Fever,1022400237,2024-09-19T00:00:00,IND @ WAS,L,24.816666666666663,3,6,0.5,1,3,0.333,0,0,0.0,0,1,1,7,1,1,0,0,3,1,7,-15,20.7,0,0,18.0,1.0,2263.0,2263.0,2263.0,1940.0,1744.0,2173.0,1203.0,966.0,1209.0,1190.0,2266.0,2417.0,2266.0,2112.0,2717.0,3089.0,133.0,1742.0,907.0,1350.0,1.0,3120.0,2052.0,2151.0,4206.0,1787.0,299.0,8.0,1948.0,1,24:49
2024,1641651,Jordan Horston,Jordan,1611661328,SEA,Seattle Storm,1022400240,2024-09-19T00:00:00,SEA @ PHO,W,17.583333333333332,1,5,0.2,0,3,0.0,0,0,0.0,0,1,1,2,1,1,1,0,3,1,2,-8,11.2,0,0,9.0,1.0,1.0,1.0,1.0,2784.0,2886.0,2472.0,3398.0,1909.0,1209.0,1909.0,2266.0,2417.0,2266.0,2112.0,2717.0,3089.0,1544.0,1742.0,907.0,419.0,1.0,3120.0,2052.0,3308.0,3471.0,2880.0,299.0,8.0,3044.0,1,17:35
2024,1630996,Rae Burrell,Rae,1611661320,LAS,Los Angeles Sparks,1022400238,2024-09-19T00:00:00,LAS @ MIN,W,25.7,1,6,0.167,1,5,0.2,0,0,0.0,2,4,6,1,1,0,0,1,1,0,3,10,10.7,0,0,11.0,1.0,1.0,1.0,1.0,1823.0,2886.0,2173.0,3523.0,966.0,620.0,1752.0,2266.0,2417.0,2266.0,436.0,970.0,789.0,2320.0,1742.0,2210.0,1350.0,3082.0,966.0,3093.0,3074.0,695.0,2943.0,299.0,8.0,2788.0,1,25:42
2024,1627673,Jonquel Jones,Jonquel,1611661313,NYL,New York Liberty,1022400236,2024-09-19T00:00:00,NYL vs. ATL,L,30.48333333333333,3,6,0.5,1,1,1.0,0,0,0.0,0,10,10,3,3,1,3,0,4,5,7,-9,32.5,0,0,29.0,1.0,2263.0,2263.0,2263.0,1189.0,1744.0,2173.0,1203.0,966.0,2344.0,1.0,2266.0,2417.0,2266.0,2112.0,80.0,220.0,1015.0,406.0,907.0,50.0,1.0,3845.0,260.0,2151.0,3623.0,787.0,299.0,8.0,937.0,1,30:29
2024,1628929,Kristy Wallace,Kristy,1611661325,IND,Indiana Fever,1022400237,2024-09-19T00:00:00,IND @ WAS,L,25.133333333333333,6,8,0.75,3,4,0.75,2,2,1.0,1,3,4,1,1,0,0,0,1,1,17,-1,22.3,0,0,25.0,1.0,2263.0,2263.0,2263.0,1906.0,639.0,1629.0,299.0,203.0,853.0,270.0,1015.0,1263.0,1.0,1010.0,1421.0,1430.0,2320.0,1742.0,2210.0,1350.0,1.0,966.0,2052.0,632.0,2242.0,1635.0,299.0,8.0,1246.0,1,25:08
2024,1642292,Jacy Sheldon,Jacy,1611661321,DAL,Dallas Wings,1022400239,2024-09-19T00:00:00,DAL @ LVA,L,26.9,2,8,0.25,0,3,0.0,0,0,0.0,1,1,2,3,3,1,0,1,0,1,4,-6,10.9,0,0,11.0,1.0,2263.0,2263.0,2263.0,1674.0,2287.0,1629.0,3148.0,1909.0,1209.0,1909.0,2266.0,2417.0,2266.0,1010.0,2717.0,2427.0,1015.0,406.0,907.0,1350.0,3082.0,1.0,2052.0,2809.0,3177.0,2917.0,299.0,8.0,2788.0,1,26:54
