SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,cycle_phase,cycle_day,phase_volatility,cycle_confidence,perf_trend,cycle_risk_tag
2024,203838,Astou Ndour-Fall,Astou,1611661323,CON,Connecticut Sun,1022400002,2024-05-14,CON vs. IND,W,2.9833333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,5,-1.0,0,0,0.0,1.0,1.0,1.0,1.0,4291.0,3652.0,4208.0,3652.0,1909.0,3181.0,1909.0,2266.0,2417.0,2266.0,2112.0,3606.0,3812.0,3330.0,1742.0,2210.0,1350.0,1.0,966.0,3093.0,3784.0,1268.0,4474.0,299.0,8.0,4292.0,1,2:59,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,203866,Kayla Thornton,Kayla,1611661313,NYL,New York Liberty,1022400001,2024-05-14,NYL @ WAS,W,4.883333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,0,0,3,4.2,0,0,3.0,1.0,1.0,1.0,1.0,4115.0,3652.0,3861.0,3652.0,1909.0,3181.0,1909.0,2266.0,2417.0,2266.0,2112.0,2717.0,3089.0,3330.0,3036.0,2210.0,419.0,3082.0,1.0,3093.0,3784.0,1536.0,3740.0,299.0,8.0,3832.0,1,4:53,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,204296,Rebecca Allen,Rebecca,1611661317,PHO,Phoenix Mercury,1022400003,2024-05-14,PHO @ LVA,L,33.4,5,13,0.385,3,6,0.5,1,2,0.5,1,6,7,2,2,2,1,1,3,2,14,3,32.4,0,0,32.0,1.0,2263.0,2263.0,2263.0,712.0,914.0,669.0,2392.0,203.0,401.0,551.0,1749.0,1263.0,1804.0,1010.0,442.0,589.0,1544.0,894.0,323.0,419.0,3082.0,3120.0,1354.0,968.0,1536.0,791.0,299.0,8.0,677.0,1,33:24,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,204319,Jewell Loyd,Jewell,1611661328,SEA,Seattle Storm,1022400004,2024-05-14,SEA vs. MIN,L,32.55,3,19,0.158,1,3,0.333,3,3,1.0,3,7,10,1,3,2,0,2,1,3,10,-13,26.5,1,0,26.0,1.0,2263.0,2263.0,2263.0,848.0,1744.0,116.0,3585.0,966.0,1209.0,1190.0,694.0,1005.0,1.0,204.0,296.0,220.0,2320.0,406.0,323.0,1350.0,4111.0,966.0,816.0,1577.0,4067.0,1247.0,1.0,8.0,1163.0,1,32:33,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,204329,Kiah Stokes,Kiah,1611661319,LVA,Las Vegas Aces,1022400003,2024-05-14,LVA vs. PHO,W,23.166666666666668,0,0,0.0,0,0,0.0,2,2,1.0,1,2,3,0,1,0,0,0,1,1,2,-8,4.6,0,0,5.0,1.0,1.0,1.0,1.0,2141.0,3652.0,4208.0,3652.0,1909.0,3181.0,1909.0,1015.0,1263.0,1.0,1010.0,1983.0,1879.0,3330.0,1742.0,2210.0,1350.0,1.0,966.0,2052.0,3308.0,3471.0,3703.0,299.0,8.0,3584.0,1,23:10,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,204333,Natasha Cloud,Natasha,1611661317,PHO,Phoenix Mercury,1022400003,2024-05-14,PHO @ LVA,L,33.6,5,15,0.333,1,6,0.167,3,3,1.0,1,7,8,7,4,1,0,2,1,2,14,-11,33.1,0,0,32.0,1.0,2263.0,2263.0,2263.0,688.0,914.0,414.0,2587.0,966.0,401.0,1822.0,694.0,1005.0,1.0,1010.0,296.0,416.0,133.0,166.0,907.0,1350.0,4111.0,966.0,1354.0,968.0,3853.0,741.0,299.0,8.0,677.0,1,33:36,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,204335,Betnijah Laney-Hamilton,Betnijah,1611661313,NYL,New York Liberty,1022400001,2024-05-14,NYL @ WAS,W,33.03333333333333,9,13,0.692,2,6,0.333,0,0,0.0,1,3,4,2,3,2,0,0,2,2,20,16,30.8,0,0,32.0,1.0,1.0,1.0,1.0,773.0,143.0,669.0,450.0,493.0,401.0,1190.0,2266.0,2417.0,2266.0,1010.0,1421.0,1430.0,1544.0,406.0,323.0,1350.0,1.0,2127.0,1354.0,386.0,290.0,900.0,299.0,8.0,677.0,1,33:02,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,204365,Erica Wheeler,Erica,1611661325,IND,Indiana Fever,1022400002,2024-05-14,IND @ CON,L,19.03333333333333,3,3,1.0,1,1,1.0,1,1,1.0,0,1,1,2,2,1,0,0,1,2,8,-9,13.2,0,0,14.0,1.0,2263.0,2263.0,2263.0,2624.0,1744.0,3149.0,1.0,966.0,2344.0,1.0,1749.0,2169.0,1.0,2112.0,2717.0,3089.0,1544.0,894.0,907.0,1350.0,1.0,966.0,1354.0,1947.0,3623.0,2636.0,299.0,8.0,2412.0,1,19:02,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1627668,Breanna Stewart,Breanna,1611661313,NYL,New York Liberty,1022400001,2024-05-14,NYL @ WAS,W,31.53333333333333,3,9,0.333,0,1,0.0,2,2,1.0,1,7,8,2,3,1,0,3,4,3,8,-5,20.6,0,0,20.0,1.0,1.0,1.0,1.0,1018.0,1744.0,1408.0,2587.0,1909.0,2344.0,1909.0,1015.0,1263.0,1.0,1010.0,296.0,416.0,1544.0,406.0,907.0,1350.0,4407.0,3845.0,816.0,1947.0,3008.0,1796.0,299.0,8.0,1713.0,1,31:32,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1627669,Moriah Jefferson,Moriah,1611661323,CON,Connecticut Sun,1022400002,2024-05-14,CON vs. IND,W,3.6666666666666665,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,3,-7,3.0,0,0,4.0,1.0,1.0,1.0,1.0,4213.0,2886.0,3861.0,1.0,966.0,2344.0,1.0,2266.0,2417.0,2266.0,2112.0,3606.0,3812.0,3330.0,3036.0,2210.0,1350.0,1.0,966.0,3093.0,3074.0,3316.0,3887.0,299.0,8.0,3715.0,1,3:40,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1627671,Rachel Banham,Rachel,1611661323,CON,Connecticut Sun,1022400002,2024-05-14,CON vs. IND,W,23.716666666666665,3,7,0.429,3,7,0.429,1,1,1.0,0,1,1,0,0,1,0,0,3,0,10,9,14.2,0,0,16.0,1.0,1.0,1.0,1.0,2085.0,1744.0,1890.0,1997.0,203.0,257.0,1022.0,1749.0,2169.0,1.0,2112.0,2717.0,3089.0,3330.0,3036.0,907.0,1350.0,1.0,3120.0,3093.0,1577.0,795.0,2513.0,299.0,8.0,2173.0,1,23:43,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
