projection_id,player_id,game_id,team,stat_type,line_score,start_time,updated_at,status,odds_type,is_live,is_promo
5211917,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,20.0,2025-06-03T21:30:00-04:00,2025-06-03T18:45:07-04:00,pre_game,standard,False,False
5211913,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,25.5,2025-06-03T21:30:00-04:00,2025-06-03T19:38:08-04:00,pre_game,standard,False,False
5205272,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,14.5,2025-06-03T21:30:00-04:00,2025-06-03T13:34:50-04:00,pre_game,demon,False,False
5211356,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs,18.0,2025-06-03T21:30:00-04:00,2025-06-03T18:44:54-04:00,pre_game,standard,False,False
5211155,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,8.0,2025-06-03T21:30:00-04:00,2025-06-03T11:41:32-04:00,pre_game,standard,False,False
5211903,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,9.5,2025-06-03T21:30:00-04:00,2025-06-03T19:39:57-04:00,pre_game,standard,False,False
5204968,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,11.5,2025-06-03T21:30:00-04:00,2025-06-03T12:41:25-04:00,pre_game,demon,False,False
5204970,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,9.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:32-04:00,pre_game,demon,False,False
5211919,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,16.0,2025-06-03T21:30:00-04:00,2025-06-03T11:59:54-04:00,pre_game,standard,False,False
5202280,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,9.5,2025-06-03T21:30:00-04:00,2025-06-03T12:06:19-04:00,pre_game,standard,False,False
5202281,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,13.5,2025-06-03T21:30:00-04:00,2025-06-03T11:57:56-04:00,pre_game,standard,False,False
5211928,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,10.0,2025-06-03T21:30:00-04:00,2025-06-03T18:45:07-04:00,pre_game,standard,False,False
5211904,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,4.5,2025-06-03T21:30:00-04:00,2025-06-03T18:44:37-04:00,pre_game,standard,False,False
5211924,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,13.0,2025-06-03T21:30:00-04:00,2025-06-03T12:06:00-04:00,pre_game,standard,False,False
5202277,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,11.5,2025-06-03T21:30:00-04:00,2025-06-03T18:58:21-04:00,pre_game,standard,False,False
5211923,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,15.0,2025-06-03T21:30:00-04:00,2025-06-03T17:19:00-04:00,pre_game,standard,False,False
5202276,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,7.0,2025-06-03T21:30:00-04:00,2025-06-03T12:00:49-04:00,pre_game,standard,False,False
5211922,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,18.0,2025-06-03T21:30:00-04:00,2025-06-03T12:03:21-04:00,pre_game,standard,False,False
5202278,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,9.5,2025-06-03T21:30:00-04:00,2025-06-03T11:53:52-04:00,pre_game,standard,False,False
5211927,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,14.5,2025-06-03T21:30:00-04:00,2025-06-03T19:44:46-04:00,pre_game,standard,False,False
5211921,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,17.5,2025-06-03T21:30:00-04:00,2025-06-03T19:45:05-04:00,pre_game,standard,False,False
5211926,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,14.0,2025-06-03T21:30:00-04:00,2025-06-03T19:44:57-04:00,pre_game,standard,False,False
5202279,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,9.0,2025-06-03T21:30:00-04:00,2025-06-03T11:52:21-04:00,pre_game,standard,False,False
5202931,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,14.5,2025-06-03T21:30:00-04:00,2025-06-02T12:50:44-04:00,pre_game,demon,False,False
5202932,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,5.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:30-04:00,pre_game,demon,False,False
5202258,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,10.5,2025-06-03T21:30:00-04:00,2025-06-03T15:53:26-04:00,pre_game,standard,False,False
5202260,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,4.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:30-04:00,pre_game,standard,False,False
