SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2025,3142086,Brianna Turner,,5,IND,Indiana Fever,401736122,2025-05-20,IND vs OPP,W,9.0,0,3,0.0,0,0,0.0,1,2,0.5,0,0,0,0,1,0,1,0,2,0,1,-1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9
2025,3142086,Brianna Turner,,5,IND,Indiana Fever,401736146,2025-05-30,IND vs OPP,W,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
2025,3142086,Brianna Turner,,5,IND,Indiana Fever,401736156,2025-06-03,IND vs OPP,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
2025,3142086,Brianna Turner,,5,IND,Indiana Fever,401736164,2025-06-08,IND vs OPP,W,6.0,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,1,1,0,0,0,0,0,2,-1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
2025,3142086,Brianna Turner,,5,IND,Indiana Fever,401736169,2025-06-10,IND vs OPP,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2025,3142086,Brianna Turner,,5,IND,Indiana Fever,401736177,2025-06-14,IND vs OPP,W,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025,3142087,Kathryn Westbeld,,11,PHX,Phoenix Mercury,401736117,2025-05-18,PHX vs OPP,W,22.0,3,5,0.6,2,3,0.667,1,2,0.5,1,4,5,1,0,1,0,0,0,0,9,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22
2025,3142087,Kathryn Westbeld,,11,PHX,Phoenix Mercury,401736125,2025-05-22,PHX vs OPP,W,19.0,2,5,0.4,2,4,0.5,0,0,0.0,2,4,6,1,2,0,2,0,2,0,6,-18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19
2025,3142087,Kathryn Westbeld,,11,PHX,Phoenix Mercury,401736131,2025-05-24,PHX vs OPP,W,27.0,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,4,0,0,1,0,0,0,3,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27
2025,3142087,Kathryn Westbeld,,11,PHX,Phoenix Mercury,401736136,2025-05-25,PHX vs OPP,W,27.0,2,9,0.222,2,8,0.25,0,0,0.0,2,2,4,1,0,4,0,0,2,0,6,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27
2025,3142087,Kathryn Westbeld,,11,PHX,Phoenix Mercury,401736142,2025-05-28,PHX vs OPP,W,27.0,5,10,0.5,3,8,0.375,0,0,0.0,2,3,5,1,0,1,3,0,3,0,13,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27
2025,3142087,Kathryn Westbeld,,11,PHX,Phoenix Mercury,401736149,2025-05-31,PHX vs OPP,W,22.0,1,5,0.2,1,2,0.5,0,0,0.0,1,2,3,0,1,0,1,0,4,0,3,-15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22
2025,3142087,Kathryn Westbeld,,11,PHX,Phoenix Mercury,401736153,2025-06-01,PHX vs OPP,W,30.0,5,10,0.5,3,5,0.6,2,2,1.0,0,3,3,2,2,1,2,0,3,0,15,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30
2025,3142087,Kathryn Westbeld,,11,PHX,Phoenix Mercury,401736157,2025-06-04,PHX vs OPP,W,21.0,2,8,0.25,0,5,0.0,0,0,0.0,1,2,3,0,0,0,2,0,2,0,4,-11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21
2025,3142087,Kathryn Westbeld,,11,PHX,Phoenix Mercury,401736160,2025-06-06,PHX vs OPP,W,30.0,3,7,0.429,1,2,0.5,0,0,0.0,1,6,7,2,2,2,2,0,1,0,7,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30
2025,3142087,Kathryn Westbeld,,11,PHX,Phoenix Mercury,401736165,2025-06-08,PHX vs OPP,W,23.0,2,5,0.4,0,2,0.0,0,0,0.0,1,0,1,2,0,0,1,0,3,0,4,-9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23
2025,3142087,Kathryn Westbeld,,11,PHX,Phoenix Mercury,401736172,2025-06-12,PHX vs OPP,W,25.0,5,10,0.5,1,5,0.2,0,0,0.0,0,2,2,2,1,3,1,0,1,0,11,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25
2025,3142087,Kathryn Westbeld,,11,PHX,Phoenix Mercury,401736181,2025-06-15,PHX vs OPP,W,15.0,0,3,0.0,0,3,0.0,1,2,0.5,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15
2025,3142191,Kelsey Mitchell,,5,IND,Indiana Fever,401736115,2025-05-17,IND vs OPP,W,30.0,6,12,0.5,2,4,0.5,1,2,0.5,0,1,1,2,0,1,0,0,1,0,15,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30
2025,3142191,Kelsey Mitchell,,5,IND,Indiana Fever,401736122,2025-05-20,IND vs OPP,W,33.0,9,15,0.6,2,3,0.667,4,4,1.0,0,0,0,2,1,1,0,0,3,0,24,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33
2025,3142191,Kelsey Mitchell,,5,IND,Indiana Fever,401736126,2025-05-22,IND vs OPP,W,28.0,7,19,0.368,1,6,0.167,2,4,0.5,1,2,3,1,3,0,1,0,2,0,17,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28
2025,3142191,Kelsey Mitchell,,5,IND,Indiana Fever,401736132,2025-05-24,IND vs OPP,W,34.0,6,16,0.375,2,7,0.286,1,2,0.5,0,0,0,4,1,3,0,0,2,0,15,-2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34
2025,3142191,Kelsey Mitchell,,5,IND,Indiana Fever,401736143,2025-05-28,IND vs OPP,W,32.0,4,16,0.25,2,7,0.286,4,5,0.8,0,1,1,4,0,1,0,0,1,0,14,-6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32
