name,BBRefID,team,last_season
Michaela Onyenwere,onyenmi01w,CHI,2025
Mikiah Herbert Harrigan,harrimi01w,PHO,2025
Monique Akoa Makani,makanmo01w,PHX,2025
Monique Billings,billimo01w,GS,2025
Morgan Bertsch,bertsmo01w,PHO,2025
Moriah Jefferson,jeffemo01w,CON,2025
Murjanatu Musa,musaamu01w,PHX,2025
Myisha Hines-Allen,hinesmy01w,DAL,2025
NaLyssa Smith,smithna01w,DAL,2025
Napheesa Collier,collina01w,MIN,2025
Natasha Cloud,cloudna01w,NY,2025
Natasha Howard,howarna01w,IND,2025
Natasha Mack,mackkna01w,PHX,2025
Natisha Hiedeman,hiedena01w,MIN,2025
Naz Hillmon,hillmna01w,ATL,2025
Nia Coffey,coffeni01w,ATL,2025
Nika Mühl,mhlllni01w,SEA,2025
Nneka Ogwumike,ogwumnn01w,SEA,2025
Nyara Sabally,sabalny01w,NY,2025
Odyssey Sims,simssod01w,LA,2025
Olivia Nelson-Ododa,nelsool01w,CONN,2025
Olivia Époupa,poupaol01w,MIN,2025
Paige Bueckers,bueckpa01w,DAL,2025
Queen Egbo,egbooqu01w,CON,2025
Rachel Banham,banhara01w,CON,2025
Rae Burrell,burrera01w,LA,2025
Rayah Marshall,marshra01w,CONN,2025
Rebecca Allen,allenre01w,CHI,2025
Rebekah Gardner,gardnre01w,NY,2025
Rhyne Howard,howarrh01w,ATL,2025
Rickea Jackson,jacksri01w,LA,2025
Robyn Parks,parksro01w,CONN,2025
Sabrina Ionescu,ionessa01w,NY,2025
Sami Whitcomb,whitcsa01w,PHX,2025
Sania Feagin,feagisa01w,LA,2025
Saniya Rivers,riversa01w,CONN,2025
Sarah Ashlee Barker,barkesa01w,LA,2025
Satou Sabally,sabalsa01w,PHX,2025
Sevgi Uzun,uzunnse01w,PHX,2025
Shakira Austin,austish01w,WSH,2025
Shatori Walker-Kimbrough,walkesh01w,ATL,2025
Shey Peddy,peddysh01w,LA,2025
Sika Kone,koneesi01w,WSH,2025
Sika Koné,konnnsi01w,MIN,2025
Skylar Diggins,diggisk01w,SEA,2025
Sonia Citron,citroso01w,WSH,2025
Sophie Cunningham,cunniso01w,IND,2025
Stefanie Dolson,dolsost01w,WSH,2025
Stephanie Soares,soarest01w,DAL,2025
Stephanie Talbot,talbost01w,GS,2025
Sug Sutton,suttosu01w,WSH,2025
Sydney Colson,colsosy01w,IND,2025
Taylor Soule,souleta01w,MIN,2025
Taylor Thierry,thierta01w,ATL,2025
Te-Hina Paopao,paopate01w,ATL,2025
Teaira McCowan,mccowte01w,DAL,2025
Temi Fagbenle,fagbete01w,GS,2025
Temi Fágbénlé,fgbnlte01w,IND,2025
Tiffany Hayes,hayesti01w,GS,2025
Tiffany Mitchell,mitchti01w,LV,2025
Tina Charles,charlti01w,CONN,2025
Tyasha Harris,harrity01w,DAL,2025
Veronica Burton,burtove01w,GS,2025
Victaria Saxton,saxtovi01w,IND,2025
Victoria Vivians,viviavi01w,SEA,2025
Zia Cooke,cookezi01w,SEA,2025
